name,address,lat,lng,types,osm_link,image_link,osm_type,osm_id
Lapangan Sepak Bola Wijaya Kusuma,Jalan Anggrek Garuda,-6.1920332,106.7950873,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/494099421,,way,494099421
Lapangan Sekolah SD 10 Pagi,DKI Jakarta,-6.1936369,106.7917039,"leisure:pitch, sport:basketball",https://www.openstreetmap.org/way/494099984,,way,494099984
Lapangan JAK Kampung Tengah,,-6.2930366,106.8664409,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/494156589,,way,494156589
Lapangan Tenis Taman Toga,Jalan Kemanggisan Ilir,-6.1874938,106.7902082,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/494561830,,way,494561830
Lapangan Basket Taman Toga,Jalan Kemanggisan Ilir,-6.1880088,106.7901792,"leisure:pitch, sport:basketball",https://www.openstreetmap.org/way/494561835,,way,494561835
Futsal Avenue,"Jalan Jambore No. 1 A RT 06 RW 11 Cibubur Ciracas, Jakarta Timur",-6.3556905,106.8906957,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/504916494,,way,504916494
Lapangan Futsal Kopassus,DKI Jakarta,-6.320332,106.8493428,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/504931263,,way,504931263
Lapangan Tenis Rawa Pandan,Jalan Rawa Pandan,-6.176244,106.8039382,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/505526034,,way,505526034
GB Futsal,Jalan Lebak Bulus III,-6.3039753,106.7834397,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/505736152,,way,505736152
GOR Unit Pengelola Gelanggang Remaja Jakarta Timur,Jalan Otto Iskandardianta Raya No. 121,-6.2347623,106.8686491,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/505739455,,way,505739455
Stadion Madya Gelora Bung Karno,DKI Jakarta,-6.217204,106.7995177,"leisure:stadium, sport:multi",https://www.openstreetmap.org/way/506643608,,way,506643608
Sarana Olahraga Pondok Kopi (SAGA 09),Jalan Pondok Kopi Blok E-7,-6.2205314,106.943137,"leisure:pitch, sport:badminton",https://www.openstreetmap.org/way/506658469,,way,506658469
Sarana Olahraga Pondok Kopi (SAGA 09),Jalan Pondok Kopi Blok E-7,-6.2203104,106.9430134,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/506658471,,way,506658471
The Fiqs Futsal Jagakarsa,Jalan Jagakarsa,-6.3280959,106.8123207,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/506895841,,way,506895841
Futsal 1919,Jalan H. Khayar,-6.3414898,106.8034445,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/506896002,,way,506896002
Gelanggang Olahraga Ciracas,Jalan Raya Bogor,-6.3250244,106.8650043,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/507118344,,way,507118344
Futsal Sport Net 134,Komplek Citra 2,-6.1336176,106.6938228,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/507229157,,way,507229157
Lapangan Sepak Bola Pegadungan,Jalan Peta Utara,-6.1397808,106.7031196,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/507229291,,way,507229291
Gelanggang Remaja Kecamatan Cipayung,"Jalan Bantar Jati No. 2 Kelurahan Setu, Kecamatan Cipayung, Jakarta Timur",-6.30792,106.9189358,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/507242780,,way,507242780
Ciputra Sport Centre,Perumahan Citra 2,-6.1418413,106.7081422,"leisure:sports_centre, sport:swimming",https://www.openstreetmap.org/way/507486787,,way,507486787
Palm Bay Waterpark,Jalan Taman Surya V,-6.1382861,106.7099755,"leisure:water_park, sport:swimming",https://www.openstreetmap.org/way/507486814,,way,507486814
GOR kecamatan Kalideres,Jalan Peta Utara II,-6.1417752,106.701708,"leisure:sports_centre, sport:multi",https://www.openstreetmap.org/way/507486822,,way,507486822
Karisma Futsal N Hall,Jalan Satu Maret,-6.1276073,106.704313,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/507486845,,way,507486845
Kolam Renang Perumahan Premier Terrace,Jalan Perumahan Premier Terrace,-6.3317227,106.8763891,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/507536006,,way,507536006
Lapangan BRI,Jalan Demuna Komplek BRI,-6.2764634,106.8075046,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/508069782,,way,508069782
Elang Futsal,"Gili Sampeng, West Jakarta, 11530",-6.1954065,106.7784514,"leisure:pitch, sport:soccer",https://www.openstreetmap.org/way/510606362,,way,510606362
GOR Titan,Jalan Madrasah,-6.3053285,106.8678797,"leisure:sports_centre, sport:badminton",https://www.openstreetmap.org/way/510637342,,way,510637342
Ground Futsal,Jalan Masjid Dalam I A,-6.276643,106.8148232,"leisure:pitch, sport:futsal",https://www.openstreetmap.org/way/510664902,,way,510664902
Kolam Renang Kosambi Baru,Jalan Pinang Tengah Raya,-6.1746927,106.7107576,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/510725687,,way,510725687
SS Golf Marinir,Jalan Cilandak KKO,-6.2963466,106.8133902,"leisure:pitch, sport:golf",https://www.openstreetmap.org/way/510968207,,way,510968207
Lapangan Tenis Badan Pusat Statistik,Jalan Dua Sembilan,-6.2435084,106.9158132,"leisure:pitch, sport:tennis",https://www.openstreetmap.org/way/510975964,,way,510975964
Taman Air Tirta Mas Pondok Kelapa,DKI Jakarta,-6.241165,106.9362893,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/511594506,,way,511594506
Taman Air Tirta Mas Pondok Kelapa,DKI Jakarta,-6.2415748,106.936557,"leisure:swimming_pool, sport:swimming",https://www.openstreetmap.org/way/511594507,,way,511594507
